symbol,rule_variant,target_variant,target_ratio,observations,eligible_setups,entries,wins,losses,no_entry,win_rate_pct,average_return_pct,total_return_pct,profit_factor,expectancy_pct,maximum_drawdown_pct_points
LYFT,ALL_COMPLETE,FIB_38_2,0.382,14,14,7,2,5,7,28.57142857142857,-0.21664171428571427,-1.516492,0.4262421176450113,-0.21664171428571427,2.104578
LYFT,ALL_COMPLETE,FIB_50_0,0.5,14,14,7,1,6,7,14.285714285714285,-0.32098385714285715,-2.246887,0.26528789769886535,-0.32098385714285715,2.246887
LYFT,ALL_COMPLETE,FIB_61_8,0.618,14,14,7,1,6,7,14.285714285714285,-0.2902615714285714,-2.031831,0.33560930054309956,-0.2902615714285714,2.104578
LYFT,ALL_COMPLETE,NON_FIB_CONTROL,0.427121,14,14,7,2,5,7,28.57142857142857,-0.27084628571428576,-1.8959240000000002,0.2989916685369599,-0.27084628571428576,2.210675
LYFT,MANIPULATION,FIB_38_2,0.382,14,14,7,2,5,7,28.57142857142857,-0.21664171428571427,-1.516492,0.4262421176450113,-0.21664171428571427,2.104578
LYFT,MANIPULATION,FIB_50_0,0.5,14,14,7,1,6,7,14.285714285714285,-0.32098385714285715,-2.246887,0.26528789769886535,-0.32098385714285715,2.246887
LYFT,MANIPULATION,FIB_61_8,0.618,14,14,7,1,6,7,14.285714285714285,-0.2902615714285714,-2.031831,0.33560930054309956,-0.2902615714285714,2.104578
LYFT,MANIPULATION,NON_FIB_CONTROL,0.427121,14,14,7,2,5,7,28.57142857142857,-0.27084628571428576,-1.8959240000000002,0.2989916685369599,-0.27084628571428576,2.210675
LYFT,RED_AND_MANIPULATION,FIB_38_2,0.382,14,8,5,1,4,3,20.0,-0.3341852,-1.6709260000000001,0.2409284433210556,-0.3341852,1.6709260000000001
LYFT,RED_AND_MANIPULATION,FIB_50_0,0.5,14,8,5,0,5,3,0.0,-0.5232752,-2.6163760000000003,0.0,-0.5232752,2.616376
LYFT,RED_AND_MANIPULATION,FIB_61_8,0.618,14,8,5,0,5,3,0.0,-0.5232752,-2.6163760000000003,0.0,-0.5232752,2.616376
LYFT,RED_AND_MANIPULATION,NON_FIB_CONTROL,0.427121,14,8,5,1,4,3,20.0,-0.38960100000000003,-1.9480050000000002,0.1391007249566458,-0.38960100000000003,2.262756
LYFT,RED_CANDLE,FIB_38_2,0.382,14,8,5,1,4,3,20.0,-0.3341852,-1.6709260000000001,0.2409284433210556,-0.3341852,1.6709260000000001
LYFT,RED_CANDLE,FIB_50_0,0.5,14,8,5,0,5,3,0.0,-0.5232752,-2.6163760000000003,0.0,-0.5232752,2.616376
LYFT,RED_CANDLE,FIB_61_8,0.618,14,8,5,0,5,3,0.0,-0.5232752,-2.6163760000000003,0.0,-0.5232752,2.616376
LYFT,RED_CANDLE,NON_FIB_CONTROL,0.427121,14,8,5,1,4,3,20.0,-0.38960100000000003,-1.9480050000000002,0.1391007249566458,-0.38960100000000003,2.262756
LYFT,RED_MANIPULATION_ATR_RATIO_0_30,FIB_38_2,0.382,14,8,5,1,4,3,20.0,-0.3341852,-1.6709260000000001,0.2409284433210556,-0.3341852,1.6709260000000001
LYFT,RED_MANIPULATION_ATR_RATIO_0_30,FIB_50_0,0.5,14,8,5,0,5,3,0.0,-0.5232752,-2.6163760000000003,0.0,-0.5232752,2.616376
LYFT,RED_MANIPULATION_ATR_RATIO_0_30,FIB_61_8,0.618,14,8,5,0,5,3,0.0,-0.5232752,-2.6163760000000003,0.0,-0.5232752,2.616376
